species_english_name,on_haida_gwaii,cosewic_status,provincial_status,species_order,species_family
Aleutian Tern,Yes,0,SNA,Charadriiformes,Laridae
American Coot,Yes,Not at Risk,S4S5B,Gruiformes,Rallidae
American Dipper,Yes,0,S4,Passeriformes,Cinclidae
American Golden-Plover,Yes,0,S3S4B,Charadriiformes,Charadriidae
American Goldfinch,Yes,0,S4,Passeriformes,Fringillidae
American Kestrel,Yes,0,S4S5B,Falconiformes,Falconidae
American Pipit,Yes,0,"S5B, SNRN",Passeriformes,Motacillidae
American Robin,Yes,0,S5,Passeriformes,Turdidae
American Tree Sparrow,Yes,0,S4B,Passeriformes,Passerellidae
American Wigeon,Yes,0,"S5B,S5N",Anseriformes,Anatidae
Ancient Murrelet,Yes,Special Concern,"S2S3B,S4N",Charadriiformes,Alcidae
Anna's Hummingbird,Yes,0,S4S5,Apodiformes,Trochilidae
Arctic Tern,Yes,0,S4B,Charadriiformes,Laridae
Baird's Sandpiper,Yes,0,"SUB,SUM",Charadriiformes,Scolopacidae
Bald Eagle,Yes,Not at Risk,"S5B,S5N",Accipitriformes,Accipitridae
Band-tailed Pigeon,Yes,Special Concern,S3S4,Columbiformes,Columbidae
Barn Swallow,Yes,Threatened,S3S4B,Passeriformes,Hirundinidae
Barrow's Goldeneye,Yes,0,S4S5,Anseriformes,Anatidae
Belted Kingfisher,Yes,0,S4S5,Coraciiformes,Alcedinidae
Black Oystercatcher,Yes,0,S4,Charadriiformes,Haematopodidae
Black Scoter,Yes,0,S3S4N,Anseriformes,Anatidae
Black Swift,Yes,Endangered,S2S3B,Apodiformes,Apodidae
Black Turnstone,Yes,0,"S4N,S5M",Charadriiformes,Scolopacidae
Black-bellied Plover,Yes,0,S5N,Charadriiformes,Charadriidae
Black-billed Magpie,Yes,0,S5,Passeriformes,Corvidae
Black-capped Chickadee,Yes,0,S5,Passeriformes,Paridae
Black-footed Albatross,Yes,Special Concern,S3S4N,Procellariiformes,Diomedeidae
Black-headed Grosbeak,Rare/Accidental,0,S5B,Passeriformes,Cardinalidae
Black-legged Kittiwake,Yes,0,S1,Charadriiformes,Laridae
Black-tailed Godwit,Rare/Accidental,,,Charadriiformes,Scolopacidae
Black-tailed Gull,Yes,0,SNA,Charadriiformes,Laridae
Blackpoll Warbler,Yes,0,S5B,Passeriformes,Parulidae
Blue-winged Teal,Yes,0,S4S5B,Anseriformes,Anatidae
Bobolink,Yes,Threatened,S3B,Passeriformes,Icteridae
Bohemian Waxwing,Yes,0,S5,Passeriformes,Bombycillidae
Bonaparte's Gull,Yes,0,S5?,Charadriiformes,Laridae
Brambling,Rare/Accidental,0,SNRM,Passeriformes,Fringillidae
Brandt's Cormorant,Yes,0,"S1B,S4N",Suliformes,Phalacrocoracidae
Brant,Yes,0,S3M,Anseriformes,Anatidae
Brewer's Blackbird,Yes,0,S5,Passeriformes,Icteridae
Brown Creeper,Yes,0,S5,Passeriformes,Certhiidae
Brown-headed Cowbird,Yes,0,S5,Passeriformes,Icteridae
Buff-breasted Sandpiper,Yes,Special Concern,SUM,Charadriiformes,Scolopacidae
Bufflehead,Yes,0,"S5B, SNRN",Anseriformes,Anatidae
Buller's Shearwater,Yes,0,S3?N,Procellariiformes,Procellariidae
Cackling Goose,Yes,0,S4S5M,Anseriformes,Anatidae
California Gull,Yes,0,S2S3B,Charadriiformes,Laridae
Canada Goose,Yes,0,S5,Anseriformes,Anatidae
Canvasback,Yes,0,"S4B, SNRN",Anseriformes,Anatidae
Cape May Warbler,Yes,0,S3S4B,Passeriformes,Parulidae
Caspian Tern,Yes,Not at Risk,S3B,Charadriiformes,Laridae
Cassin's Auklet,Yes,Special Concern,"S2B,S3N",Charadriiformes,Alcidae
Cassin's Finch,Yes,0,S5,Passeriformes,Fringillidae
Cattle Egret,Yes,0,SNRN,Pelecaniformes,Ardeidae
Cedar Waxwing,Yes,0,S5,Passeriformes,Bombycillidae
Chestnut-backed Chickadee,Yes,0,S5,Passeriformes,Paridae
Chestnut-sided Warbler,Rare/Accidental,0,SNA,Passeriformes,Parulidae
Chipping Sparrow,Yes_d,0,S5B,Passeriformes,Passerellidae
Clark's Nutcracker,Yes,0,S5,Passeriformes,Corvidae
Cliff Swallow,Yes,0,S4S5B,Passeriformes,Hirundinidae
Common Crane,Rare/Accidental,,,Gruiformes,Gruidae
Common Cuckoo,Rare/Accidental,,,Cuculiformes,Cuculidae
Common Goldeneye,Yes,0,S5,Anseriformes,Anatidae
Common Greenshank,Rare/Accidental,,,Charadriiformes,scolopacidae
Common Loon,Yes,Not at Risk,S5,Gaviiformes,Gaviidae
Common Merganser,Yes,0,S5,Anseriformes,Anatidae
Common Murre,Yes,0,"S2B,S3S4N",Charadriiformes,Alcidae
Common Nighthawk,Yes,Special Concern,S4B,Caprimulgiformes,Caprimulgidae
Common Raven,Yes,0,S5,Passeriformes,Corvidae
Common Redpoll,Yes,0,S4,Passeriformes,Fringillidae
Common Yellowthroat,Yes,0,S5,Passeriformes,Parulidae
Cooper's Hawk,Yes,Not at Risk,S5,Accipitriformes,Accipitridae
Curlew Sandpiper,Rare/Accidental,0,SNA,Charadriiformes,Scolopacidae
Dark-eyed Junco,Yes,0,S5,Passeriformes,Passerellidae
Double-crested Cormorant,Yes,Not at Risk,S3S4,Suliformes,Phalacrocoracidae
